area,location,bhk,property_type,nearby_school_distance,nearby_hospital_distance,bathrooms,price,price_per_sqft
1360,Suburbs,3,apartment,9.2,8.2,3.0,6581538.92,4839.366852941176
4272,Business District,2,apartment,,9.7,3.0,46450736.84,10873.299822097379
3592,Downtown,3,independent house,3.3,9.3,2.0,55876798.15,15555.901489420936
966,Downtown,4,apartment,4.8,17.4,4.0,13480631.87,13955.105455486542
4926,Suburbs,4,apartment,9.5,10.8,4.0,21505960.66,4365.806061713358
3944,Outskirts,2,apartment,9.2,9.6,3.0,10932260.98,2771.871445233266
3671,Downtown,4,apartment,7.8,8.5,5.0,44501569.15,12122.46503677472
3419,Downtown,1,apartment,5.6,16.4,1.0,41227264.33,12058.281465340742
630,Business District,1,apartment,13.7,18.0,1.0,6727684.75,10678.864682539683
2185,Industrial Area,3,apartment,5.4,17.1,4.0,7535710.62,3448.8378123569796
1269,Suburbs,2,apartment,7.1,13.6,3.0,6343145.04,4998.538250591017
2891,Suburbs,2,villa,10.3,3.2,1.0,24122346.3,8343.9454514009
2933,Outskirts,3,apartment,8.4,5.9,3.0,7721345.84,2632.5761472894646
1684,Outskirts,2,villa,5.5,1.4,1.0,6340820.42,3765.332790973872
3885,Suburbs,2,apartment,6.8,18.7,1.0,20407432.43,5252.878360360361
4617,Outskirts,2,apartment,12.0,13.4,3.0,9862362.59,2136.0975936755467
3404,Business District,3,villa,,15.1,3.0,56860030.9,16703.886868390127
974,Suburbs,3,apartment,2.6,6.6,2.0,6085966.43,6248.425492813141
1582,Outskirts,2,independent house,5.0,17.0,3.0,4662852.99,2947.441839443742
3058,Suburbs,2,villa,12.8,5.6,3.0,22843595.59,7470.1097416612165
2547,Industrial Area,2,apartment,,0.5,2.0,8317625.23,3265.6557636435023
3247,Downtown,1,independent house,14.9,7.8,1.0,41034153.67,12637.558875885434
1475,Suburbs,3,villa,8.3,11.6,2.0,12216848.14,8282.608908474576
2306,Downtown,2,apartment,14.8,9.8,,24650457.96,10689.704232437121
689,Outskirts,2,apartment,14.1,17.3,3.0,1626701.92,2360.9606966618285
3234,Downtown,3,apartment,7.1,2.6,3.0,47948718.32,14826.443512677799
3505,Suburbs,3,independent house,3.4,11.3,3.0,24406871.57,6963.444099857346
2399,Industrial Area,3,villa,2.9,10.5,2.0,12610131.65,5256.411692371822
